table,total_rows,exported_rows
dados_ult30d_2derrotas,279,200
dados_ult30d_3derrotas,140,140
dados_ult30d_ht_metodo,0,0
dados_ult30d_metodo,250,200
dados_ult30d_metodo3dif,144,144
dados_ult30d_metodoantigo2d,210,200
dados_ult30d_metodoantigo3d,65,65
dados_ult30d_primeirojogo,169,169
dados_ult30d_troca,335,200
ebattle_ebattleapi_fixtures,848184,200
ebattle_ebattleapi_futurematches,1422,200
gt_dados_ht,2029,200
gt_dados_primeirogol,1984,200
gt_gtapi_fixtures,292488,200
gt_gtapi_futurematches,440,200
gt_odds_mlht,25490,200
h2h_ebasket_fixtures,67928,200
h2h_futurematches,168,168
h2h_h2hapi_fixtures,184970,200
hcs_ebattle,482,200
hcs_gtleague,320,200
hcs_h2h,1302,200
hcs_volta,456,200
player_daily_history_session_matches,211516,200
player_daily_history_sessions,7922,200
site_access_users,21,21
volta_dados_ult30d_2derrotas,921,200
volta_dados_ult30d_3derrotas,625,200
volta_dados_ult30d_metodo,803,200
volta_dados_ult30d_metodo3dif,609,200
volta_dados_ult30d_metodoantigo2d,755,200
volta_dados_ult30d_metodoantigo3d,256,200
volta_dados_ult30d_primeirojogo,527,200
volta_dados_ult30d_troca,1047,200
volta_ebattleapi_fixtures,175998,200
volta_ebattleapi_futurematches,322,200
